sex,alcohol,tobacco,pm25,water,sanitation,diabetes,tuberculosis,mortality
1,4.83714,19.7,8.29850884,94.8641372300634,90.8382825593682,9.6,21.0,7.2
1,4.2488,22.2,12.42053652,99.9737989276451,97.4902356962101,5.3,5.2,9.2
0,18.87609,28.1,9.157206628,95.0211573137157,72.7379735905272,5.2,8.6,13.7
0,14.99871,21.9,10.16512436,98.7844096414334,97.340865611524,5.6,6.5,13.8
0,17.01867,30.9,8.29850884,94.8641372300634,90.8382825593682,9.6,21.0,16.0
1,5.44147,19.8,10.06890585,99.5340819574653,95.7982686479148,5.9,8.3,7.4
1,4.71538,24.2,11.03144858,98.3875001402106,96.9905835667988,5.6,6.0,10.3
1,5.34309,24.4,13.78739916,95.118973137701,78.6223735524012,7.8,40.0,13.9
0,16.73585,37.4,18.36521464,99.1847298839003,82.4934011491699,5.8,2.9,21.0
1,4.88897,20.1,6.363062222,98.5751544267288,88.4065611414685,5.8,5.5,7.8
0,13.75757,49.1,15.72743666,99.2334710112973,86.8944833029242,5.1,5.1,18.1
0,11.57386,29.4,17.10725238,94.5081548552369,78.9886424710089,5.1,6.4,12.4
1,5.5633,29.3,11.96813105,98.9062020537843,99.6639565452622,6.6,7.3,8.0
0,14.51377,24.8,12.0392862,99.9714383332555,97.4970818170631,5.3,4.9,11.6
0,16.90264,35.5,6.363062222,98.5751544267288,88.4065611414685,5.8,5.5,15.0
1,3.11558,31.2,14.2538714,98.9812373437398,90.6071543599725,5.1,4.7,8.0
1,5.52763,21.1,9.921704411,99.5842506631401,93.8287631673435,4.5,5.7,7.3
0,16.50116,18.7,10.17141578,99.852656974279,98.0626902684487,5.2,8.1,12.4
0,12.29967,27.9,16.09761447,93.7377560143227,79.0110604604242,5.1,7.3,11.8
0,16.80512,40.3,19.3125724,98.8999277380174,82.5396786795494,5.7,6.8,25.0
0,11.33929,36.5,14.2538714,98.9304415860007,91.3429777542093,5.1,4.2,17.2
1,4.93842,13.5,10.09284402,99.8284052845126,98.089859013307,5.2,7.0,8.5
1,4.2488,20.8,12.07642052,99.9726179948876,97.4936622830349,5.3,5.3,9.0
1,5.58297,34.5,12.81319702,98.911030882148,99.6654462844796,6.6,7.6,8.7
1,5.11049,23.0,5.893562381,97.0193826204319,90.4208196673259,6.5,11.0,8.8
0,18.80739,27.7,12.16821803,98.8985428249425,99.6701783640015,4.6,5.0,12.9
1,4.91652,26.7,9.728788477,99.5671426373018,89.9654142909252,10.3,6.9,6.5
1,5.12246,25.1,15.24810165,94.2770127926483,75.0039792874543,7.8,54.0,15.0
0,18.28931,33.1,9.261773306,94.3637135468122,74.5790520428957,9.6,27.0,16.7
0,14.68035,33.7,5.44671115,99.6514249285855,95.4080837164555,4.2,8.1,10.7
1,3.69603,12.5,5.698616135,99.9999984604769,79.0189612379409,3.2,4.1,7.0
1,5.09315,22.8,21.81786779,91.3784156152455,97.0497365970041,9.0,18.0,12.2
1,4.26371,27.9,10.3607232,99.5717164141287,90.2559033490583,6.3,13.0,6.6
1,6.88918,24.7,6.517719719,96.8779431530859,90.4016760093211,7.0,16.0,10.6
1,3.98594,22.2,16.41203304,98.7032591582429,76.5273224846116,9.3,3.8,6.6
0,18.28931,33.1,8.77615963,94.5389069370452,79.849286197009,9.6,24.0,15.9
0,11.89236,42.3,16.04385798,99.184433819502,87.6394424867267,5.1,4.7,18.2
0,23.293,45.5,10.19686116,94.4423091946607,92.2233609454408,7.8,50.0,29.3
0,19.55246,36.7,13.68529611,98.4614905519153,88.9214281642506,5.4,9.0,15.8
0,14.99871,19.4,9.868317849,99.9188311329772,98.3775433922739,5.6,5.4,13.1
0,10.48831,17.0,6.642383374,98.9316806552341,77.9143170292292,4.7,3.1,10.0
0,17.38058,36.5,16.63089611,96.1433838528522,87.722205546279,6.0,7.1,30.5
1,5.45153,22.3,11.77992518,99.8998405268407,96.7500429615828,5.3,7.7,9.2
1,4.76811,23.0,9.902709701,96.6999987666662,99.6998094734838,5.9,5.4,6.1
0,18.70912,28.6,10.15031354,99.6742915425469,93.1722676705514,4.5,5.0,12.2
1,4.13998,16.3,5.565330197,99.6420270617799,90.0103113520342,6.1,3.9,6.8
0,16.6779,29.3,10.60281759,96.7000022331398,99.3508146061221,5.9,7.9,10.3
0,19.33714,42.8,10.37350411,94.8974874451152,93.7552925661227,7.8,41.0,28.4
0,14.64187,17.8,9.785959755,99.9188240598864,98.6405223931316,5.6,4.1,12.6
1,4.13998,16.6,5.565330197,99.636151982144,89.5291852264122,5.8,4.7,6.8
0,24.66382,41.8,6.517719719,96.8779431530859,90.4016760093211,7.0,16.0,25.2
